MedInc,Latitude,Longitude
8.3252,37.88,-122.23
8.3014,37.86,-122.22
7.2574,37.85,-122.24
5.6431,37.85,-122.25
3.8462,37.85,-122.25
4.0368,37.85,-122.25
3.6591,37.84,-122.25
3.12,37.84,-122.25
2.0804,37.84,-122.26
3.6912,37.84,-122.25
3.2031,37.85,-122.26
3.2705,37.85,-122.26
3.075,37.85,-122.26
2.6736,37.84,-122.26
1.9167,37.85,-122.26
2.125,37.85,-122.26
2.775,37.85,-122.27
2.1202,37.85,-122.27
1.9911,37.84,-122.26
2.6033,37.84,-122.27
1.3578,37.85,-122.27
1.7135,37.85,-122.27
1.725,37.84,-122.27
2.1806,37.84,-122.27
2.6,37.84,-122.27
2.4038,37.85,-122.28
2.4597,37.85,-122.28
1.808,37.85,-122.28
1.6424,37.84,-122.28
1.6875,37.84,-122.28
1.9274,37.84,-122.28
1.9615,37.84,-122.28
1.7969,37.84,-122.27
1.375,37.83,-122.27
2.7303,37.83,-122.27
1.4861,37.83,-122.27
1.0972,37.83,-122.27
1.4103,37.83,-122.28
3.48,37.83,-122.26
2.5898,37.83,-122.26
2.0978,37.83,-122.26
1.2852,37.83,-122.26
1.025,37.84,-122.26
3.9643,37.84,-122.26
3.0125,37.83,-122.26
2.6768,37.83,-122.26
2.026,37.83,-122.26
1.7348,37.82,-122.27
0.9506,37.82,-122.26
1.775,37.82,-122.27
0.9218,37.82,-122.27
1.5045,37.82,-122.27
1.1108,37.82,-122.27
1.2475,37.82,-122.27
1.6098,37.82,-122.28
1.4113,37.82,-122.28
1.5057,37.82,-122.28
0.8172,37.82,-122.28
1.2171,37.82,-122.28
2.5625,37.82,-122.29
3.3929,37.83,-122.29
6.1183,37.82,-122.29
0.9011,37.81,-122.29
1.1909999999999998,37.81,-122.3
2.5938,37.81,-122.3
1.1667,37.81,-122.3
0.8056,37.81,-122.3
2.6094,37.8,-122.29
1.8516,37.81,-122.3
0.9802,37.81,-122.29
1.7719,37.81,-122.29
0.7286,37.81,-122.29
1.75,37.81,-122.29
0.4999,37.81,-122.29
2.483,37.81,-122.29
0.9241,37.81,-122.28
2.4464,37.81,-122.28
1.1111,37.81,-122.28
0.8026,37.81,-122.29
2.0114,37.8,-122.28
1.5,37.81,-122.28
1.1667,37.81,-122.27
1.5208,37.81,-122.28
0.8075,37.81,-122.28
1.8088,37.81,-122.28
2.4083,37.81,-122.28
0.977,37.81,-122.27
0.76,37.81,-122.27
0.9722,37.8,-122.27
1.2434,37.8,-122.27
2.0938,37.8,-122.27
0.8668,37.8,-122.28
0.75,37.8,-122.28
2.6354,37.79,-122.27
1.8477,37.8,-122.27
2.0096,37.8,-122.26
2.8345,37.82,-122.26
2.0062,37.81,-122.26
1.2185,37.82,-122.26
2.6104,37.82,-122.26
2.4912,37.81,-122.25
3.2177,37.81,-122.25
3.125,37.81,-122.25
2.5795,37.81,-122.25
2.8406,37.81,-122.26
4.9306,37.82,-122.24
3.2727,37.81,-122.24
3.1691,37.81,-122.25
3.9,37.82,-122.24
3.9063,37.82,-122.25
5.0917,37.82,-122.25
2.6429,37.82,-122.25
3.0233,37.82,-122.25
3.1484,37.83,-122.25
3.4722,37.83,-122.25
3.1429,37.83,-122.25
2.4234,37.83,-122.25
3.0897,37.83,-122.25
5.8596,37.84,-122.23
5.2868,37.84,-122.23
5.956,37.83,-122.24
4.9643,37.85,-122.24
6.3434,37.85,-122.23
5.1773,37.84,-122.24
7.2354,37.85,-122.24
5.457000000000001,37.85,-122.22
7.5,37.84,-122.22
6.0194,37.84,-122.21
7.5544,37.83,-122.21
6.0666,37.84,-122.2
7.0548,37.84,-122.21
11.6017,37.84,-122.19
7.4882,37.84,-122.2
6.8976,37.83,-122.21
8.2049,37.83,-122.19
8.401,37.83,-122.2
6.8538,37.83,-122.19
8.317,37.82,-122.19
7.0175,37.82,-122.2
6.3302,37.82,-122.2
6.3624,37.81,-122.18
7.0549,37.82,-122.21
6.7851,37.81,-122.2
2.8929,37.8,-122.21
3.0812,37.8,-122.21
5.2402,37.81,-122.21
6.5217,37.81,-122.22
3.2632,37.8,-122.22
3.0298,37.8,-122.22
4.5428,37.8,-122.22
4.072,37.81,-122.22
5.3509,37.81,-122.22
3.1603,37.8,-122.23
4.7708,37.81,-122.23
8.1564,37.81,-122.22
8.8793,37.81,-122.23
6.8591,37.81,-122.24
6.0302,37.81,-122.24
7.507999999999999,37.81,-122.23
2.7477,37.81,-122.24
2.1944,37.8,-122.24
3.0149,37.8,-122.25
3.675,37.81,-122.24
3.225,37.81,-122.25
2.9345,37.8,-122.25
2.1429,37.8,-122.25
1.6121,37.8,-122.25
1.3929,37.8,-122.25
2.3173,37.79,-122.24
1.7772,37.79,-122.25
2.6458,37.79,-122.25
2.181,37.79,-122.25
2.2303,37.8,-122.25
1.6504,37.8,-122.25
2.2697,37.8,-122.24
2.1563,37.8,-122.24
2.1348,37.8,-122.24
2.6292,37.8,-122.24
2.3833,37.8,-122.23
2.957,37.8,-122.24
2.5238,37.8,-122.24
1.9375,37.8,-122.23
1.9028,37.8,-122.23
2.25,37.8,-122.23
2.3929,37.8,-122.23
2.1917,37.79,-122.23
2.9357,37.79,-122.23
1.8854,37.79,-122.23
2.1638,37.79,-122.24
2.125,37.79,-122.24
3.375,37.79,-122.24
2.2542,37.79,-122.24
2.1,37.79,-122.25
1.6,37.79,-122.25
3.625,37.79,-122.25
1.6929,37.8,-122.26
1.6471,37.77,-122.22
2.59,37.77,-122.22
2.57,37.77,-122.23
2.6429,37.78,-122.23
3.0257,37.78,-122.23
1.4886,37.78,-122.22
1.9338,37.78,-122.23
1.4844,37.78,-122.23
1.6009,37.78,-122.23
2.0375,37.79,-122.23
2.293,37.79,-122.23
2.1494,37.79,-122.22
1.6198,37.79,-122.23
1.3281,37.79,-122.23
3.5156,37.79,-122.22
3.9048,37.79,-122.22
3.0893,37.79,-122.21
2.6042,37.79,-122.22
2.5,37.79,-122.22
2.7969,37.79,-122.22
2.8321,37.79,-122.2
2.9583,37.79,-122.21
2.8365,37.79,-122.21
2.875,37.79,-122.21
3.0682,37.8,-122.21
3.0757,37.8,-122.21
4.9559,37.8,-122.2
4.7721,37.8,-122.2
3.4861,37.8,-122.21
5.1184,37.8,-122.2
4.0977,37.8,-122.21
4.744,37.8,-122.19
4.2727,37.8,-122.19
2.9844,37.79,-122.19
4.1739,37.79,-122.2
3.8487,37.8,-122.2
4.0114,37.8,-122.19
4.6563,37.79,-122.19
2.9297,37.79,-122.19
2.3036,37.79,-122.2
2.6667,37.79,-122.2
2.619,37.79,-122.2
2.4167,37.79,-122.21
2.7788,37.79,-122.2
2.7352,37.78,-122.21
1.8472,37.78,-122.21
2.6583,37.78,-122.21
3.0536,37.78,-122.21
2.3906,37.78,-122.22
1.7188,37.78,-122.21
2.625,37.78,-122.21
2.8015,37.77,-122.22
1.7276,37.78,-122.22
2.0801,37.78,-122.22
2.489,37.78,-122.22
1.7546,37.76,-122.21
4.0904,37.77,-122.21
2.6765,37.77,-122.21
2.4338,37.77,-122.2
2.3309,37.77,-122.21
2.2604,37.77,-122.21
1.8039,37.77,-122.19
2.2562,37.77,-122.2
2.0562,37.77,-122.2
3.5398,37.78,-122.2
3.1167,37.78,-122.2
2.5401,37.78,-122.2
2.898,37.77,-122.2
2.3125,37.78,-122.21
2.875,37.78,-122.19
3.3715,37.77,-122.19
3.5114,37.77,-122.19
4.3125,37.78,-122.19
3.22,37.78,-122.19
3.875,37.78,-122.18
5.2328,37.78,-122.19
3.7262,37.78,-122.19
4.5893,37.78,-122.2
5.2578,37.79,-122.18
7.0875,37.79,-122.18
3.9712,37.79,-122.18
2.9514,37.79,-122.19
2.6667,37.79,-122.19
5.4446,37.81,-122.18
6.2838,37.8,-122.18
6.7527,37.8,-122.18
7.0712,37.77,-122.13
5.9849,37.79,-122.16
3.6875,37.78,-122.17
2.875,37.77,-122.17
3.4205,37.78,-122.18
3.2984,37.78,-122.18
3.875,37.78,-122.17
4.175,37.78,-122.17
4.375,37.77,-122.16
4.7708,37.77,-122.16
3.5739,37.77,-122.16
3.0958,37.77,-122.16
3.3958,37.77,-122.17
1.871,37.77,-122.17
1.9356,37.76,-122.17
2.1842,37.76,-122.17
2.2917,37.76,-122.18
2.4333,37.76,-122.17
1.9479,37.76,-122.18
3.9063,37.76,-122.18
1.8407,37.76,-122.18
2.0786,37.77,-122.18
2.8125,37.77,-122.18
1.8913,37.76,-122.18
1.7056,37.76,-122.19
2.2768,37.77,-122.18
3.2552,37.77,-122.18
2.0556,37.77,-122.18
2.4659,37.76,-122.19
1.75,37.76,-122.2
2.0469,37.77,-122.19
2.7159,37.77,-122.19
1.2083,37.76,-122.19
1.925,37.76,-122.19
1.5809,37.75,-122.2
1.4097,37.76,-122.2
0.7683,37.76,-122.19
1.3194,37.75,-122.19
0.8012,37.75,-122.19
1.9479,37.76,-122.19
1.1765,37.74,-122.19
2.3456,37.74,-122.18
2.1538,37.73,-122.19
2.5139,37.74,-122.19
1.2625,37.73,-122.19
2.9063,37.73,-122.18
2.5192,37.73,-122.18
2.1111,37.73,-122.18
2.455,37.73,-122.18
2.4028,37.74,-122.17
2.15,37.74,-122.17
2.4776,37.74,-122.17
2.1587,37.73,-122.17
1.8438,37.74,-122.18
3.0298,37.74,-122.17
2.25,37.74,-122.17
2.2467,37.74,-122.18
4.0469,37.75,-122.18
1.325,37.75,-122.18
1.6196,37.75,-122.17
2.1731,37.75,-122.18
1.9167,37.75,-122.19
2.069,37.75,-122.18
1.712,37.75,-122.18
2.5625,37.76,-122.17
1.9821,37.75,-122.17
2.5043,37.75,-122.17
2.3281,37.75,-122.17
1.4375,37.75,-122.17
2.5122,37.76,-122.16
1.5625,37.75,-122.16
3.1587,37.75,-122.17
1.8426,37.76,-122.17
4.6696,37.76,-122.16
2.4598,37.76,-122.16
6.0749,37.76,-122.15
4.8304,37.77,-122.14
5.5701,37.76,-122.14
5.37,37.76,-122.13
6.86,37.75,-122.12
7.6923,37.75,-122.12
4.0313,37.75,-122.14
6.8323,37.75,-122.14
4.975,37.75,-122.13
5.3602,37.75,-122.13
5.0,37.74,-122.13
2.925,37.75,-122.16
3.8913,37.75,-122.15
3.225,37.75,-122.15
3.1458,37.74,-122.15
2.537,37.75,-122.16
2.5568,37.75,-122.16
3.5083,37.74,-122.15
3.3125,37.74,-122.15
1.8235,37.75,-122.16
3.8047,37.75,-122.16
2.2917,37.74,-122.17
2.4962,37.75,-122.17
4.0417,37.74,-122.16
3.4844,37.74,-122.16
4.1458,37.74,-122.16
2.625,37.74,-122.16
