,Longitude,Latitude,MedInc
0,-122.23,37.88,8.3252
1,-122.22,37.86,8.3014
2,-122.24,37.85,7.2574
3,-122.25,37.85,5.6431
4,-122.25,37.85,3.8462
5,-122.25,37.85,4.0368
6,-122.25,37.84,3.6591
7,-122.25,37.84,3.12
8,-122.26,37.84,2.0804
9,-122.25,37.84,3.6912
10,-122.26,37.85,3.2031
11,-122.26,37.85,3.2705
12,-122.26,37.85,3.075
13,-122.26,37.84,2.6736
14,-122.26,37.85,1.9167
15,-122.26,37.85,2.125
16,-122.27,37.85,2.775
17,-122.27,37.85,2.1202
18,-122.26,37.84,1.9911
19,-122.27,37.84,2.6033
20,-122.27,37.85,1.3578
21,-122.27,37.85,1.7135
22,-122.27,37.84,1.725
23,-122.27,37.84,2.1806
24,-122.27,37.84,2.6
25,-122.28,37.85,2.4038
26,-122.28,37.85,2.4597
27,-122.28,37.85,1.808
28,-122.28,37.84,1.6424
29,-122.28,37.84,1.6875
30,-122.28,37.84,1.9274
31,-122.28,37.84,1.9615
32,-122.27,37.84,1.7969
33,-122.27,37.83,1.375
34,-122.27,37.83,2.7303
35,-122.27,37.83,1.4861
36,-122.27,37.83,1.0972
37,-122.28,37.83,1.4103
38,-122.26,37.83,3.48
39,-122.26,37.83,2.5898
40,-122.26,37.83,2.0978
41,-122.26,37.83,1.2852
42,-122.26,37.84,1.025
43,-122.26,37.84,3.9643
44,-122.26,37.83,3.0125
45,-122.26,37.83,2.6768
46,-122.26,37.83,2.026
47,-122.27,37.82,1.7348
48,-122.26,37.82,0.9506
49,-122.27,37.82,1.775
50,-122.27,37.82,0.9218
51,-122.27,37.82,1.5045
52,-122.27,37.82,1.1108
53,-122.27,37.82,1.2475
54,-122.28,37.82,1.6098
55,-122.28,37.82,1.4113
56,-122.28,37.82,1.5057
57,-122.28,37.82,0.8172
58,-122.28,37.82,1.2171
59,-122.29,37.82,2.5625
60,-122.29,37.83,3.3929
61,-122.29,37.82,6.1183
62,-122.29,37.81,0.9011
63,-122.3,37.81,1.1909999999999998
64,-122.3,37.81,2.5938
65,-122.3,37.81,1.1667
66,-122.3,37.81,0.8056
67,-122.29,37.8,2.6094
