MedInc,Latitude,Longitude,Cluster
8.325,37.880,-122.230,0
8.301,37.860,-122.220,0
7.257,37.850,-122.240,0
5.643,37.850,-122.250,0
3.846,37.850,-122.250,5
4.037,37.850,-122.250,5
3.659,37.840,-122.250,5
3.120,37.840,-122.250,5
2.080,37.840,-122.260,5
3.691,37.840,-122.250,5
3.203,37.850,-122.260,5
3.271,37.850,-122.260,5
3.075,37.850,-122.260,5
2.674,37.840,-122.260,5
1.917,37.850,-122.260,5
2.125,37.850,-122.260,5
2.775,37.850,-122.270,5
2.120,37.850,-122.270,5
1.991,37.840,-122.260,5
2.603,37.840,-122.270,5
1.358,37.850,-122.270,5
1.714,37.850,-122.270,5
1.725,37.840,-122.270,5
2.181,37.840,-122.270,5
2.600,37.840,-122.270,5
2.404,37.850,-122.280,5
2.460,37.850,-122.280,5
1.808,37.850,-122.280,5
1.642,37.840,-122.280,5
1.688,37.840,-122.280,5
1.927,37.840,-122.280,5
1.962,37.840,-122.280,5
1.797,37.840,-122.270,5
1.375,37.830,-122.270,5
2.730,37.830,-122.270,5
1.486,37.830,-122.270,5
1.097,37.830,-122.270,5
1.410,37.830,-122.280,5
3.480,37.830,-122.260,5
2.590,37.830,-122.260,5
2.098,37.830,-122.260,5
1.285,37.830,-122.260,5
1.025,37.840,-122.260,5
3.964,37.840,-122.260,5
3.013,37.830,-122.260,5
2.677,37.830,-122.260,5
2.026,37.830,-122.260,5
1.735,37.820,-122.270,5
0.951,37.820,-122.260,5
1.775,37.820,-122.270,5
0.922,37.820,-122.270,5
1.504,37.820,-122.270,5
1.111,37.820,-122.270,5
1.248,37.820,-122.270,5
1.610,37.820,-122.280,5
1.411,37.820,-122.280,5
1.506,37.820,-122.280,5
0.817,37.820,-122.280,5
1.217,37.820,-122.280,5
2.562,37.820,-122.290,5
3.393,37.830,-122.290,5
6.118,37.820,-122.290,0
0.901,37.810,-122.290,5
1.191,37.810,-122.300,5
2.594,37.810,-122.300,5
1.167,37.810,-122.300,5
0.806,37.810,-122.300,5
2.609,37.800,-122.290,5
1.852,37.810,-122.300,5
0.980,37.810,-122.290,5
1.772,37.810,-122.290,5
0.729,37.810,-122.290,5
1.750,37.810,-122.290,5
0.500,37.810,-122.290,5
2.483,37.810,-122.290,5
0.924,37.810,-122.280,5
2.446,37.810,-122.280,5
1.111,37.810,-122.280,5
0.803,37.810,-122.290,5
2.011,37.800,-122.280,5
1.500,37.810,-122.280,5
1.167,37.810,-122.270,5
1.521,37.810,-122.280,5
0.807,37.810,-122.280,5
1.809,37.810,-122.280,5
2.408,37.810,-122.280,5
0.977,37.810,-122.270,5
0.760,37.810,-122.270,5
0.972,37.800,-122.270,5
1.243,37.800,-122.270,5
2.094,37.800,-122.270,5
0.867,37.800,-122.280,5
0.750,37.800,-122.280,5
2.635,37.790,-122.270,5
1.848,37.800,-122.270,5
2.010,37.800,-122.260,5
2.834,37.820,-122.260,5
2.006,37.810,-122.260,5
1.218,37.820,-122.260,5
2.610,37.820,-122.260,5
2.491,37.810,-122.250,5
3.218,37.810,-122.250,5
3.125,37.810,-122.250,5
2.579,37.810,-122.250,5
2.841,37.810,-122.260,5
4.931,37.820,-122.240,0
3.273,37.810,-122.240,5
3.169,37.810,-122.250,5
3.900,37.820,-122.240,5
3.906,37.820,-122.250,5
5.092,37.820,-122.250,0
2.643,37.820,-122.250,5
3.023,37.820,-122.250,5
3.148,37.830,-122.250,5
3.472,37.830,-122.250,5
3.143,37.830,-122.250,5
2.423,37.830,-122.250,5
3.090,37.830,-122.250,5
5.860,37.840,-122.230,0
5.287,37.840,-122.230,0
5.956,37.830,-122.240,0
4.964,37.850,-122.240,0
6.343,37.850,-122.230,0
5.177,37.840,-122.240,0
7.235,37.850,-122.240,0
5.457,37.850,-122.220,0
7.500,37.840,-122.220,0
6.019,37.840,-122.210,0
7.554,37.830,-122.210,0
6.067,37.840,-122.200,0
7.055,37.840,-122.210,0
11.602,37.840,-122.190,3
7.488,37.840,-122.200,0
6.898,37.830,-122.210,0
8.205,37.830,-122.190,0
8.401,37.830,-122.200,0
6.854,37.830,-122.190,0
8.317,37.820,-122.190,0
7.018,37.820,-122.200,0
6.330,37.820,-122.200,0
6.362,37.810,-122.180,0
7.055,37.820,-122.210,0
6.785,37.810,-122.200,0
2.893,37.800,-122.210,5
3.081,37.800,-122.210,5
5.240,37.810,-122.210,0
6.522,37.810,-122.220,0
3.263,37.800,-122.220,5
3.030,37.800,-122.220,5
4.543,37.800,-122.220,0
4.072,37.810,-122.220,5
5.351,37.810,-122.220,0
3.160,37.800,-122.230,5
4.771,37.810,-122.230,0
8.156,37.810,-122.220,0
8.879,37.810,-122.230,0
6.859,37.810,-122.240,0
6.030,37.810,-122.240,0
7.508,37.810,-122.230,0
2.748,37.810,-122.240,5
2.194,37.800,-122.240,5
3.015,37.800,-122.250,5
3.675,37.810,-122.240,5
3.225,37.810,-122.250,5
2.934,37.800,-122.250,5
2.143,37.800,-122.250,5
1.612,37.800,-122.250,5
1.393,37.800,-122.250,5
2.317,37.790,-122.240,5
1.777,37.790,-122.250,5
2.646,37.790,-122.250,5
2.181,37.790,-122.250,5
2.230,37.800,-122.250,5
1.650,37.800,-122.250,5
2.270,37.800,-122.240,5
2.156,37.800,-122.240,5
2.135,37.800,-122.240,5
2.629,37.800,-122.240,5
2.383,37.800,-122.230,5
2.957,37.800,-122.240,5
2.524,37.800,-122.240,5
1.938,37.800,-122.230,5
1.903,37.800,-122.230,5
2.250,37.800,-122.230,5
2.393,37.800,-122.230,5
2.192,37.790,-122.230,5
2.936,37.790,-122.230,5
1.885,37.790,-122.230,5
2.164,37.790,-122.240,5
2.125,37.790,-122.240,5
3.375,37.790,-122.240,5
2.254,37.790,-122.240,5
2.100,37.790,-122.250,5
1.600,37.790,-122.250,5
3.625,37.790,-122.250,5
1.693,37.800,-122.260,5
1.647,37.770,-122.220,5
2.590,37.770,-122.220,5
2.570,37.770,-122.230,5
2.643,37.780,-122.230,5
3.026,37.780,-122.230,5
1.489,37.780,-122.220,5
1.934,37.780,-122.230,5
1.484,37.780,-122.230,5
1.601,37.780,-122.230,5
2.038,37.790,-122.230,5
2.293,37.790,-122.230,5
2.149,37.790,-122.220,5
1.620,37.790,-122.230,5
1.328,37.790,-122.230,5
3.516,37.790,-122.220,5
3.905,37.790,-122.220,5
3.089,37.790,-122.210,5
2.604,37.790,-122.220,5
2.500,37.790,-122.220,5
2.797,37.790,-122.220,5
2.832,37.790,-122.200,5
2.958,37.790,-122.210,5
2.837,37.790,-122.210,5
2.875,37.790,-122.210,5
3.068,37.800,-122.210,5
3.076,37.800,-122.210,5
4.956,37.800,-122.200,0
4.772,37.800,-122.200,0
3.486,37.800,-122.210,5
5.118,37.800,-122.200,0
4.098,37.800,-122.210,5
4.744,37.800,-122.190,0
4.273,37.800,-122.190,0
2.984,37.790,-122.190,5
4.174,37.790,-122.200,0
3.849,37.800,-122.200,5
4.011,37.800,-122.190,5
4.656,37.790,-122.190,0
2.930,37.790,-122.190,5
2.304,37.790,-122.200,5
2.667,37.790,-122.200,5
2.619,37.790,-122.200,5
2.417,37.790,-122.210,5
2.779,37.790,-122.200,5
2.735,37.780,-122.210,5
1.847,37.780,-122.210,5
2.658,37.780,-122.210,5
3.054,37.780,-122.210,5
2.391,37.780,-122.220,5
1.719,37.780,-122.210,5
2.625,37.780,-122.210,5
2.801,37.770,-122.220,5
1.728,37.780,-122.220,5
2.080,37.780,-122.220,5
2.489,37.780,-122.220,5
1.755,37.760,-122.210,5
4.090,37.770,-122.210,5
2.676,37.770,-122.210,5
2.434,37.770,-122.200,5
2.331,37.770,-122.210,5
2.260,37.770,-122.210,5
1.804,37.770,-122.190,5
2.256,37.770,-122.200,5
2.056,37.770,-122.200,5
3.540,37.780,-122.200,5
3.117,37.780,-122.200,5
2.540,37.780,-122.200,5
2.898,37.770,-122.200,5
2.312,37.780,-122.210,5
2.875,37.780,-122.190,5
3.372,37.770,-122.190,5
3.511,37.770,-122.190,5
4.312,37.780,-122.190,0
3.220,37.780,-122.190,5
3.875,37.780,-122.180,5
