MedInc,Latitude,Longitude,Cluster
8.325,37.880,-122.230,3
8.301,37.860,-122.220,3
7.257,37.850,-122.240,3
5.643,37.850,-122.250,3
3.846,37.850,-122.250,4
4.037,37.850,-122.250,4
3.659,37.840,-122.250,4
3.120,37.840,-122.250,1
2.080,37.840,-122.260,1
3.691,37.840,-122.250,4
3.203,37.850,-122.260,4
3.271,37.850,-122.260,4
3.075,37.850,-122.260,1
2.674,37.840,-122.260,1
1.917,37.850,-122.260,1
2.125,37.850,-122.260,1
2.775,37.850,-122.270,1
2.120,37.850,-122.270,1
1.991,37.840,-122.260,1
2.603,37.840,-122.270,1
1.358,37.850,-122.270,1
1.714,37.850,-122.270,1
1.725,37.840,-122.270,1
2.181,37.840,-122.270,1
2.600,37.840,-122.270,1
2.404,37.850,-122.280,1
2.460,37.850,-122.280,1
1.808,37.850,-122.280,1
1.642,37.840,-122.280,1
1.688,37.840,-122.280,1
1.927,37.840,-122.280,1
1.962,37.840,-122.280,1
1.797,37.840,-122.270,1
1.375,37.830,-122.270,1
2.730,37.830,-122.270,1
1.486,37.830,-122.270,1
1.097,37.830,-122.270,1
1.410,37.830,-122.280,1
3.480,37.830,-122.260,4
2.590,37.830,-122.260,1
2.098,37.830,-122.260,1
1.285,37.830,-122.260,1
1.025,37.840,-122.260,1
3.964,37.840,-122.260,4
3.013,37.830,-122.260,1
2.677,37.830,-122.260,1
2.026,37.830,-122.260,1
1.735,37.820,-122.270,1
0.951,37.820,-122.260,1
1.775,37.820,-122.270,1
0.922,37.820,-122.270,1
1.504,37.820,-122.270,1
1.111,37.820,-122.270,1
1.248,37.820,-122.270,1
1.610,37.820,-122.280,1
1.411,37.820,-122.280,1
1.506,37.820,-122.280,1
0.817,37.820,-122.280,1
1.217,37.820,-122.280,1
2.562,37.820,-122.290,1
3.393,37.830,-122.290,4
6.118,37.820,-122.290,3
0.901,37.810,-122.290,1
1.191,37.810,-122.300,1
2.594,37.810,-122.300,1
1.167,37.810,-122.300,1
0.806,37.810,-122.300,1
2.609,37.800,-122.290,1
1.852,37.810,-122.300,1
0.980,37.810,-122.290,1
1.772,37.810,-122.290,1
0.729,37.810,-122.290,1
1.750,37.810,-122.290,1
0.500,37.810,-122.290,1
2.483,37.810,-122.290,1
0.924,37.810,-122.280,1
2.446,37.810,-122.280,1
1.111,37.810,-122.280,1
0.803,37.810,-122.290,1
2.011,37.800,-122.280,1
1.500,37.810,-122.280,1
1.167,37.810,-122.270,1
1.521,37.810,-122.280,1
0.807,37.810,-122.280,1
1.809,37.810,-122.280,1
2.408,37.810,-122.280,1
0.977,37.810,-122.270,1
0.760,37.810,-122.270,1
0.972,37.800,-122.270,1
1.243,37.800,-122.270,1
2.094,37.800,-122.270,1
0.867,37.800,-122.280,1
0.750,37.800,-122.280,1
2.635,37.790,-122.270,1
1.848,37.800,-122.270,1
2.010,37.800,-122.260,1
2.834,37.820,-122.260,1
2.006,37.810,-122.260,1
1.218,37.820,-122.260,1
2.610,37.820,-122.260,1
2.491,37.810,-122.250,1
3.218,37.810,-122.250,4
3.125,37.810,-122.250,1
2.579,37.810,-122.250,1
2.841,37.810,-122.260,1
4.931,37.820,-122.240,4
3.273,37.810,-122.240,4
3.169,37.810,-122.250,4
3.900,37.820,-122.240,4
3.906,37.820,-122.250,4
5.092,37.820,-122.250,3
2.643,37.820,-122.250,1
3.023,37.820,-122.250,1
3.148,37.830,-122.250,4
3.472,37.830,-122.250,4
3.143,37.830,-122.250,1
2.423,37.830,-122.250,1
3.090,37.830,-122.250,1
5.860,37.840,-122.230,3
5.287,37.840,-122.230,3
5.956,37.830,-122.240,3
4.964,37.850,-122.240,4
6.343,37.850,-122.230,3
5.177,37.840,-122.240,3
7.235,37.850,-122.240,3
5.457,37.850,-122.220,3
7.500,37.840,-122.220,3
6.019,37.840,-122.210,3
7.554,37.830,-122.210,3
6.067,37.840,-122.200,3
7.055,37.840,-122.210,3
11.602,37.840,-122.190,3
7.488,37.840,-122.200,3
6.898,37.830,-122.210,3
8.205,37.830,-122.190,3
8.401,37.830,-122.200,3
6.854,37.830,-122.190,3
8.317,37.820,-122.190,3
7.018,37.820,-122.200,3
6.330,37.820,-122.200,3
6.362,37.810,-122.180,3
7.055,37.820,-122.210,3
6.785,37.810,-122.200,3
2.893,37.800,-122.210,1
3.081,37.800,-122.210,1
5.240,37.810,-122.210,3
6.522,37.810,-122.220,3
3.263,37.800,-122.220,4
3.030,37.800,-122.220,1
4.543,37.800,-122.220,4
4.072,37.810,-122.220,4
5.351,37.810,-122.220,3
3.160,37.800,-122.230,4
4.771,37.810,-122.230,4
8.156,37.810,-122.220,3
8.879,37.810,-122.230,3
6.859,37.810,-122.240,3
6.030,37.810,-122.240,3
7.508,37.810,-122.230,3
2.748,37.810,-122.240,1
2.194,37.800,-122.240,1
3.015,37.800,-122.250,1
3.675,37.810,-122.240,4
3.225,37.810,-122.250,4
2.934,37.800,-122.250,1
2.143,37.800,-122.250,1
1.612,37.800,-122.250,1
1.393,37.800,-122.250,1
2.317,37.790,-122.240,1
1.777,37.790,-122.250,1
2.646,37.790,-122.250,1
2.181,37.790,-122.250,1
2.230,37.800,-122.250,1
1.650,37.800,-122.250,1
2.270,37.800,-122.240,1
2.156,37.800,-122.240,1
2.135,37.800,-122.240,1
2.629,37.800,-122.240,1
2.383,37.800,-122.230,1
2.957,37.800,-122.240,1
2.524,37.800,-122.240,1
1.938,37.800,-122.230,1
1.903,37.800,-122.230,1
2.250,37.800,-122.230,1
2.393,37.800,-122.230,1
2.192,37.790,-122.230,1
2.936,37.790,-122.230,1
1.885,37.790,-122.230,1
2.164,37.790,-122.240,1
2.125,37.790,-122.240,1
3.375,37.790,-122.240,4
2.254,37.790,-122.240,1
2.100,37.790,-122.250,1
1.600,37.790,-122.250,1
3.625,37.790,-122.250,4
1.693,37.800,-122.260,1
1.647,37.770,-122.220,1
2.590,37.770,-122.220,1
2.570,37.770,-122.230,1
2.643,37.780,-122.230,1
3.026,37.780,-122.230,1
1.489,37.780,-122.220,1
1.934,37.780,-122.230,1
1.484,37.780,-122.230,1
1.601,37.780,-122.230,1
2.038,37.790,-122.230,1
2.293,37.790,-122.230,1
2.149,37.790,-122.220,1
1.620,37.790,-122.230,1
1.328,37.790,-122.230,1
3.516,37.790,-122.220,4
3.905,37.790,-122.220,4
3.089,37.790,-122.210,1
2.604,37.790,-122.220,1
2.500,37.790,-122.220,1
2.797,37.790,-122.220,1
2.832,37.790,-122.200,1
2.958,37.790,-122.210,1
2.837,37.790,-122.210,1
