X,Y,Cluster
15.000,39.000,1
15.000,81.000,1
16.000,6.000,1
16.000,77.000,1
17.000,40.000,1
17.000,76.000,1
18.000,6.000,1
18.000,94.000,1
19.000,3.000,1
19.000,72.000,1
19.000,14.000,1
19.000,99.000,1
20.000,15.000,1
20.000,77.000,1
20.000,13.000,1
20.000,79.000,1
21.000,35.000,1
21.000,66.000,1
23.000,29.000,1
23.000,98.000,1
24.000,35.000,1
24.000,73.000,1
25.000,5.000,1
25.000,73.000,1
28.000,14.000,1
28.000,82.000,1
28.000,32.000,1
28.000,61.000,1
29.000,31.000,1
29.000,87.000,1
30.000,4.000,1
30.000,73.000,1
33.000,4.000,1
33.000,92.000,1
33.000,14.000,1
33.000,81.000,1
34.000,17.000,1
34.000,73.000,1
37.000,26.000,1
37.000,75.000,1
38.000,35.000,1
38.000,92.000,1
39.000,36.000,1
39.000,61.000,1
39.000,28.000,1
39.000,65.000,1
40.000,55.000,1
40.000,47.000,1
40.000,42.000,1
40.000,42.000,1
42.000,52.000,1
42.000,60.000,1
43.000,54.000,1
43.000,60.000,1
43.000,45.000,1
43.000,41.000,1
44.000,50.000,1
44.000,46.000,1
46.000,51.000,1
46.000,46.000,1
46.000,56.000,1
46.000,55.000,1
47.000,52.000,1
47.000,59.000,1
48.000,51.000,1
48.000,59.000,1
48.000,50.000,1
48.000,48.000,1
48.000,59.000,1
48.000,47.000,1
49.000,55.000,1
49.000,42.000,1
50.000,49.000,1
50.000,56.000,1
54.000,47.000,1
54.000,54.000,1
54.000,53.000,1
54.000,48.000,1
54.000,52.000,1
54.000,42.000,1
54.000,51.000,1
54.000,55.000,1
54.000,41.000,1
54.000,44.000,1
54.000,57.000,1
54.000,46.000,1
57.000,58.000,1
57.000,55.000,1
58.000,60.000,1
58.000,46.000,1
59.000,55.000,1
59.000,41.000,1
60.000,49.000,1
60.000,40.000,1
60.000,42.000,1
60.000,52.000,1
60.000,47.000,1
60.000,50.000,1
61.000,42.000,1
61.000,49.000,1
62.000,41.000,1
62.000,48.000,1
62.000,59.000,1
62.000,55.000,1
62.000,56.000,1
62.000,42.000,1
63.000,50.000,1
63.000,46.000,1
63.000,43.000,1
63.000,48.000,1
63.000,52.000,1
63.000,54.000,1
64.000,42.000,1
64.000,46.000,1
65.000,48.000,1
65.000,50.000,1
65.000,43.000,1
65.000,59.000,1
67.000,43.000,1
67.000,57.000,1
67.000,56.000,1
67.000,40.000,1
69.000,58.000,1
69.000,91.000,1
70.000,29.000,1
70.000,77.000,1
71.000,35.000,1
71.000,95.000,1
71.000,11.000,1
71.000,75.000,1
71.000,9.000,1
71.000,75.000,1
72.000,34.000,1
72.000,71.000,1
73.000,5.000,1
73.000,88.000,1
73.000,7.000,1
73.000,73.000,1
74.000,10.000,1
74.000,72.000,1
75.000,5.000,1
75.000,93.000,1
76.000,40.000,1
76.000,87.000,1
77.000,12.000,1
77.000,97.000,1
77.000,36.000,1
77.000,74.000,1
78.000,22.000,1
78.000,90.000,1
78.000,17.000,1
78.000,88.000,1
78.000,20.000,1
78.000,76.000,1
78.000,16.000,1
78.000,89.000,1
78.000,1.000,1
78.000,78.000,1
78.000,1.000,1
78.000,73.000,1
79.000,35.000,1
79.000,83.000,1
81.000,5.000,1
81.000,93.000,1
85.000,26.000,1
85.000,75.000,1
86.000,20.000,1
86.000,95.000,1
87.000,27.000,1
87.000,63.000,1
87.000,13.000,1
87.000,75.000,1
87.000,10.000,1
87.000,92.000,1
88.000,13.000,1
88.000,86.000,1
88.000,15.000,1
88.000,69.000,1
93.000,14.000,1
93.000,90.000,1
97.000,32.000,1
97.000,86.000,1
98.000,15.000,1
98.000,88.000,1
99.000,39.000,1
99.000,97.000,1
101.000,24.000,1
101.000,68.000,1
103.000,17.000,1
103.000,85.000,1
103.000,23.000,1
103.000,69.000,1
113.000,8.000,1
113.000,91.000,1
120.000,16.000,1
120.000,79.000,1
126.000,28.000,1
126.000,74.000,1
137.000,18.000,1
137.000,83.000,1
